"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000225756",31.8870410790659,21.9530126064934,3.21752956555384,6.82294044521531,8.91956402996796e-12,5.77001902591243e-09
"ENSG00000226180",13.4394368324382,-21.5844177538835,3.94786524990318,-5.46736435708205,4.56776505772663e-08,1.2073634478391e-05
"ENSG00000227262",12.4529760271863,23.1097102542665,4.03427672806814,5.72834037226119,1.0141792175999e-08,2.96792303893344e-06
"ENSG00000227913",10.9820065322623,-22.8449894286354,3.88469341681625,-5.88077023781154,4.08361696123924e-09,1.28696759155363e-06
"ENSG00000228723",3.12941278566067,-21.4294457990756,4.42951172389694,-4.83787991427251,1.31231383776219e-06,0.00027809740310233
"ENSG00000233122",15.4807623353694,-23.2332237686656,3.64250227726757,-6.37836904417643,1.78983796327999e-10,7.58582703678426e-08
"ENSG00000233330",18.8918128781235,-23.4804410295186,3.78202776535546,-6.20842640146818,5.35177761539096e-10,2.02660730338025e-07
"ENSG00000235016",14.7766890766148,21.7076183432624,3.24789280852338,6.68360060599767,2.33141671187912e-11,1.19397678357109e-08
"ENSG00000239332",11.9688124739506,21.480747134124,3.65253931318374,5.88104474511468,4.07684926516487e-09,1.28696759155363e-06
"ENSG00000239503",6.04942176260324,-22.2905726694133,4.42852063333454,-5.0334128516026,4.81823908007206e-07,0.00010481588766932
"ENSG00000242267",8.59085960399096,-17.9973193869097,3.81708539319112,-4.71493758536635,2.41784853226374e-06,0.000507996176240234
"ENSG00000244491",29.2972035726612,-23.4334447815083,3.19612810571152,-7.33182275755232,2.27043248071288e-13,2.62751266413905e-10
"ENSG00000250371",12.9095427886758,-23.2308905819923,3.83649433272599,-6.05523912386071,1.40209228039741e-09,4.78697672732349e-07
"ENSG00000250696",11.6345735980462,23.1046104342391,3.97267436241684,5.8158832883003,6.03145397273347e-09,1.80811221411871e-06
"ENSG00000251455",7.37974632807347,-22.3579651869527,3.92921892759494,-5.69018056742334,1.26905102916905e-08,3.67009557635688e-06
"ENSG00000251603",15.9961871666555,-22.9539930473165,3.29537017318974,-6.96552795011138,3.27174456138992e-12,2.43715226691173e-09
"ENSG00000253007",123.604052036692,-25.4800497886138,2.55625646217848,-9.96772044026417,2.11016283737703e-23,5.18720228684022e-19
"ENSG00000253882",15.3647897417785,-23.6019015409024,4.02911422452165,-5.85783877688513,4.68929547686537e-09,1.45914254952284e-06
"ENSG00000254452",13.6399824437233,-23.1066464432196,4.10304703787823,-5.63158214612341,1.7856388894258e-08,4.98801990680285e-06
"ENSG00000255245",12.2681911745771,-23.2901330984844,4.42793116320343,-5.25982275696332,1.44194322874739e-07,3.54458484490682e-05
"ENSG00000255339",16.5418619428847,-21.2326384894278,3.91884980315197,-5.41807917015604,6.02427408003414e-08,1.57541175995105e-05
"ENSG00000256500",39.5369688666125,-24.3683883733788,3.87999618433135,-6.28051864375179,3.37445410323127e-10,1.33791662525211e-07
"ENSG00000256678",15.5406494592192,21.8632492480222,3.17778575765425,6.88002619287997,5.98415566719695e-12,3.97574363813609e-09
"ENSG00000257752",8.09317110537289,20.7443545882807,3.76598514690551,5.50834742546085,3.62217990080298e-08,9.67830720886291e-06
"ENSG00000258429",15.6418181077571,-23.4000579615965,3.81868716368486,-6.12777558322334,8.91161593051012e-10,3.17486004063478e-07
"ENSG00000258465",60.2499200868504,-24.4129959140494,4.4276035805644,-5.51381700503038,3.51133696967533e-08,9.48524015258889e-06
"ENSG00000258984",10.2616578137317,-23.0505449861774,4.42803648648487,-5.20559057192317,1.93380597297346e-07,4.66047239486604e-05
"ENSG00000259161",27.895733870101,-22.1727359059536,3.12396348661727,-7.0976296621069,1.26914718531769e-12,1.1554880040548e-09
"ENSG00000259807",18.9366678559133,-23.1414466727257,3.07927972148637,-7.51521419481675,5.68178319439952e-14,6.98347972423645e-11
"ENSG00000260170",61.1513556895757,-23.0401633756672,3.15632659298164,-7.29967660092557,2.88460220174567e-13,3.08301266623096e-10
"ENSG00000261093",40.6356202331682,-24.1327073780211,3.17575761915435,-7.59903943313131,2.98336869977226e-14,4.31395113987069e-11
