"","p.value","cor_estimate"
"ENSG00000068394",1.43405450870838e-23,0.90791425825366
"ENSG00000068438",1.70802451632271e-30,0.947874584573095
"ENSG00000068654",5.28844444466202e-33,0.957485750192553
"ENSG00000068971",2.5329826144236e-31,0.95127380423029
"ENSG00000069020",1.07608876539437e-32,0.956409099480929
"ENSG00000069248",6.85830131583905e-33,0.957094986448374
"ENSG00000069869",1.82229256082578e-32,0.955592800900032
"ENSG00000069974",5.72956093873761e-33,0.957365701893373
"ENSG00000070404",1.89505110239552e-30,0.947682679266568
"ENSG00000070601",5.32834324959616e-33,0.957474502185376
"ENSG00000070614",1.75273958419362e-22,0.899183063356265
"ENSG00000070669",4.94103907362222e-32,0.954003976210819
"ENSG00000070761",1.11392628164298e-29,0.944297494377835
"ENSG00000070831",4.67069307148335e-31,0.950209432342206
"ENSG00000071054",8.57381021493696e-32,0.953101284647186
"ENSG00000071127",3.93466851928775e-15,0.811128892212887
"ENSG00000071282",1.02611694485274e-28,0.939733118372378
"ENSG00000071553",1.75796295418687e-22,0.899172180625864
"ENSG00000071655",1.85375582824929e-28,0.938453587282946
"ENSG00000071889",2.01760400154329e-19,0.869551908933003
"ENSG00000071994",6.73173825057516e-30,0.945282348674021
"ENSG00000072110",1.25918149367091e-26,0.928473996177839
"ENSG00000072401",2.46557490718985e-30,0.947193370268632
"ENSG00000072415",1.08383932848429e-32,0.956398081719277
"ENSG00000072422",6.77959659312781e-32,0.953488044156834
"ENSG00000072778",6.4044404891484e-28,0.935679633613713
"ENSG00000072803",2.84790099341011e-34,0.961635870653317
"ENSG00000073584",2.42351549134395e-20,0.879331288027039
"ENSG00000073849",1.94413617689274e-35,0.965084826722781
"ENSG00000073921",2.94320841694774e-31,0.951014888760945
"ENSG00000074071",1.50491548974965e-30,0.948107423849388
"ENSG00000074201",7.13634868796834e-32,0.953403847960149
"ENSG00000074590",2.29042978503832e-29,0.942856086801774
"ENSG00000074695",1.51177902920532e-35,0.965391386361556
"ENSG00000074800",4.40790864793116e-26,0.92519767362288
"ENSG00000075415",3.17417011884196e-29,0.942191040624806
"ENSG00000075426",2.81317517137035e-42,0.979856476642675
"ENSG00000075624",9.7039367149169e-19,0.861756587109437
"ENSG00000076650",4.15485795590074e-33,0.957845165917665
"ENSG00000077235",1.00843218632949e-30,0.948836716008673
"ENSG00000077279",4.94080901618856e-33,0.957587366875816
"ENSG00000077463",9.6904808146231e-31,0.948908710443569
"ENSG00000077522",1.76422427851107e-17,0.846005559970963
"ENSG00000077585",5.32059530315929e-34,0.960784208360251
"ENSG00000078018",1.58861857617395e-32,0.955806953582501
"ENSG00000078061",4.3625332472308e-33,0.957772750926249
"ENSG00000078114",8.24910610425733e-33,0.956815181160982
"ENSG00000078269",1.96717045926312e-21,0.889917069022168
"ENSG00000079246",9.41641000259928e-35,0.96309799844081
"ENSG00000079308",3.70261149004295e-31,0.950616224728175
"ENSG00000079313",1.94378173319178e-17,0.845446578534964
"ENSG00000079462",7.90903346976621e-31,0.949274206936725
"ENSG00000079805",1.12614076361963e-30,0.948636659049346
"ENSG00000080709",2.32114439551756e-29,0.942829092289991
"ENSG00000080819",5.9850401927664e-34,0.960621710968539
"ENSG00000080824",9.35642098891953e-21,0.883465453202822
"ENSG00000080845",9.96637503963748e-31,0.948857988356799
"ENSG00000080854",3.40040277581435e-32,0.954605890912994
"ENSG00000081307",6.13996551835359e-33,0.957261760005513
"ENSG00000081386",3.61695929336322e-35,0.964316313849395
"ENSG00000081721",1.82882225534111e-32,0.955587204986635
"ENSG00000081791",3.1911854973027e-23,0.905214160795841
"ENSG00000082397",6.44659785116848e-33,0.957188383731355
"ENSG00000082701",1.70292648916944e-37,0.970422153217885
"ENSG00000082781",1.47982743302386e-28,0.938944257102261
"ENSG00000083093",2.35264718353482e-33,0.958680263752868
"ENSG00000083312",2.01544144830361e-34,0.962098879134973
"ENSG00000083444",6.10160457644865e-29,0.940835065573964
"ENSG00000083814",1.19551277516465e-32,0.956247245256136
"ENSG00000083857",7.13910283524266e-33,0.95703433665115
"ENSG00000083937",5.65989369723331e-29,0.940992641820823
"ENSG00000084070",2.86377809292846e-33,0.958393514424297
"ENSG00000084090",3.54448734742272e-29,0.941964343431811
"ENSG00000084207",3.52996966565246e-15,0.811909591915628
"ENSG00000084234",7.87859388442805e-34,0.960239449697123
"ENSG00000084623",4.4975840534156e-30,0.946058061828109
"ENSG00000084652",1.28129433405045e-36,0.968258015839639
"ENSG00000084754",7.83079652501487e-23,0.902084628024291
"ENSG00000085063",2.69406304364838e-30,0.947027540388111
"ENSG00000085377",9.99702271119241e-29,0.93978890459541
"ENSG00000085662",1.58629293083243e-21,0.890777138847662
"ENSG00000085719",8.1353653967685e-32,0.953188034744021
"ENSG00000085733",1.29861655953342e-28,0.939226906652747
"ENSG00000085871",6.20421539055017e-30,0.945440230277578
"ENSG00000085872",9.67665164161972e-33,0.956571809865799
"ENSG00000085982",3.49078330205654e-30,0.946539703016097
"ENSG00000086598",9.37530215613166e-30,0.944636645552415
"ENSG00000086712",3.23559660662201e-32,0.954685305858475
"ENSG00000087074",8.01498254181202e-28,0.935164090232586
"ENSG00000087086",1.7736241820323e-19,0.870170272325437
"ENSG00000087111",1.11513360758814e-32,0.956354354647542
"ENSG00000087263",5.17712254451464e-34,0.960821857494963
"ENSG00000087274",1.60354787529711e-31,0.952053798953733
"ENSG00000087302",3.91235206086829e-35,0.964217913684569
"ENSG00000087460",2.37226737307571e-23,0.90622475267081
"ENSG00000088256",1.93695640790151e-19,0.869747964567074
"ENSG00000088325",7.11890691631898e-34,0.960380889958584
"ENSG00000088448",7.13590655209627e-15,0.80678189153991
"ENSG00000088682",2.37443398213155e-17,0.844285409947556
"ENSG00000088766",3.34945707066435e-34,0.961416654261038
"ENSG00000088986",2.11535233702299e-29,0.943016956385474
"ENSG00000089009",3.15285283512557e-32,0.954726659938457
"ENSG00000089022",1.52260250934628e-33,0.959307754029537
"ENSG00000089063",4.24303289018562e-34,0.961094789420428
"ENSG00000089157",3.9119917434398e-27,0.931396705474785
"ENSG00000089220",4.32528803552945e-23,0.904165981856198
"ENSG00000089289",1.63623788934169e-31,0.952019639251086
"ENSG00000089327",3.16077358190422e-35,0.964484654731692
"ENSG00000089335",5.34233048624274e-24,0.911136571711165
"ENSG00000089486",4.01353260444034e-25,0.919036336665822
"ENSG00000089737",1.15617841382794e-26,0.928691669328463
"ENSG00000089818",8.75656459660611e-35,0.963191971509476
"ENSG00000089876",9.59809159786324e-33,0.956584273196838
"ENSG00000089916",1.42909052432442e-31,0.952248284410489
"ENSG00000090266",5.01077402911611e-25,0.918388762813376
"ENSG00000090273",3.29897565944329e-32,0.954654313761628
"ENSG00000090316",4.78116866330266e-27,0.930904009740236
"ENSG00000090530",3.24746533550966e-32,0.954679457821377
"ENSG00000090581",1.33289703783174e-30,0.948329662911502
"ENSG00000090621",3.06313283186659e-31,0.950945761904204
"ENSG00000090861",1.25240734175269e-32,0.956175548245393
"ENSG00000090924",4.67537003519638e-33,0.957669710251776
"ENSG00000090989",3.12922045916863e-33,0.95826356303974
"ENSG00000091039",1.12082815635322e-33,0.959743709498361
"ENSG00000091409",1.60769376631591e-35,0.965316668835662
"ENSG00000091436",5.12187835186647e-39,0.973830713135295
"ENSG00000091482",5.07910946755492e-35,0.963888783861693
"ENSG00000091542",1.98650356996085e-30,0.947595396829013
"ENSG00000091640",9.55446950108611e-19,0.861836039995201
"ENSG00000092010",1.03614528716232e-27,0.934568704257487
"ENSG00000092330",6.63177412937966e-33,0.957145684401444
"ENSG00000092820",4.15956362720214e-18,0.854082718369929
"ENSG00000092841",4.68716509947924e-22,0.895517228479249
"ENSG00000092847",1.19289684695859e-35,0.965677614299568
"ENSG00000092964",3.52167601098623e-40,0.976164687841426
"ENSG00000092969",2.16704418631261e-35,0.964951681199719
"ENSG00000093010",7.16265921121951e-31,0.949451581603864
"ENSG00000093183",4.30772706966431e-33,0.957791533242364
"ENSG00000094661",4.75842758395694e-28,0.936355872311567
"ENSG00000095303",2.10135939417575e-28,0.938178774863691
"ENSG00000095321",1.12399336474693e-30,0.948640124615268
"ENSG00000095906",1.40908395082803e-25,0.922019373408837
"ENSG00000095951",7.04812295638445e-36,0.966304805170525
"ENSG00000096080",1.79393726293639e-30,0.947784038942047
"ENSG00000097033",5.8677699516624e-29,0.940917061038564
"ENSG00000099194",1.05310718869514e-30,0.948758259579707
"ENSG00000099204",5.55129154217487e-27,0.930534892594116
"ENSG00000099250",1.13496502638745e-42,0.980482972376143
"ENSG00000099377",1.32529073450312e-32,0.956088157207142
"ENSG00000099385",1.18176375314355e-16,0.834621139278486
"ENSG00000099785",3.42397182441148e-26,0.925870516195029
"ENSG00000099795",8.66575967949058e-24,0.909573067175112
"ENSG00000099797",3.08391218606967e-33,0.958284973324393
"ENSG00000099800",1.37350692736836e-26,0.928251626802668
"ENSG00000099804",4.0694477695706e-28,0.936708958347347
"ENSG00000099942",4.25886946718432e-33,0.957808472209202
"ENSG00000099953",5.07589505479947e-25,0.918350917441921
"ENSG00000099977",1.01686796583109e-30,0.948821648196937
"ENSG00000099995",6.70786570793416e-34,0.960463612916087
"ENSG00000100077",4.88045619831046e-33,0.957605708029462
"ENSG00000100099",1.19060865033125e-31,0.952554912049168
"ENSG00000100124",2.08414742249091e-30,0.947506380251484
"ENSG00000100138",3.30581356021759e-23,0.905093136945357
"ENSG00000100201",4.2449251645258e-37,0.969461874666767
"ENSG00000100219",5.40633902173127e-38,0.97158516779399
"ENSG00000100225",9.75477646137078e-36,0.965918830550932
"ENSG00000100227",9.13174116034968e-32,0.952996877360504
"ENSG00000100234",6.76433375435728e-20,0.874696575158239
"ENSG00000100284",9.5094597336983e-30,0.944608774568201
