"x"
"ENSG00000000971"
"ENSG00000002586"
"ENSG00000002933"
"ENSG00000003137"
"ENSG00000003436"
"ENSG00000004478"
"ENSG00000004799"
"ENSG00000004897"
"ENSG00000005022"
"ENSG00000005075"
"ENSG00000005102"
"ENSG00000005187"
"ENSG00000006016"
"ENSG00000006128"
"ENSG00000006327"
"ENSG00000006468"
"ENSG00000006530"
"ENSG00000006625"
"ENSG00000007171"
"ENSG00000007237"
"ENSG00000007376"
"ENSG00000007908"
"ENSG00000008056"
"ENSG00000008513"
"ENSG00000008517"
"ENSG00000008988"
"ENSG00000010244"
"ENSG00000010256"
"ENSG00000010278"
"ENSG00000010282"
"ENSG00000010327"
"ENSG00000011009"
"ENSG00000011465"
"ENSG00000012048"
"ENSG00000012817"
"ENSG00000013275"
"ENSG00000013441"
"ENSG00000014257"
"ENSG00000014824"
"ENSG00000015153"
"ENSG00000018189"
"ENSG00000018408"
"ENSG00000018625"
"ENSG00000019991"
"ENSG00000021355"
"ENSG00000022267"
"ENSG00000022976"
"ENSG00000023330"
"ENSG00000023445"
"ENSG00000023734"
"ENSG00000023902"
"ENSG00000024422"
"ENSG00000024526"
"ENSG00000026025"
"ENSG00000026508"
"ENSG00000028116"
"ENSG00000028137"
"ENSG00000028277"
"ENSG00000029363"
"ENSG00000031081"
"ENSG00000033327"
"ENSG00000034510"
"ENSG00000034713"
"ENSG00000034971"
"ENSG00000035403"
"ENSG00000035664"
"ENSG00000035862"
"ENSG00000036448"
"ENSG00000037897"
"ENSG00000038427"
"ENSG00000039537"
"ENSG00000040531"
"ENSG00000041353"
"ENSG00000041982"
"ENSG00000042445"
"ENSG00000043591"
"ENSG00000044115"
"ENSG00000047315"
"ENSG00000047617"
"ENSG00000047634"
"ENSG00000047648"
"ENSG00000047849"
"ENSG00000047932"
"ENSG00000048392"
"ENSG00000048828"
"ENSG00000049246"
"ENSG00000049249"
"ENSG00000050165"
"ENSG00000050748"
"ENSG00000052795"
"ENSG00000053254"
"ENSG00000053918"
"ENSG00000054148"
"ENSG00000054598"
"ENSG00000054654"
"ENSG00000054938"
"ENSG00000054965"
"ENSG00000055118"
"ENSG00000055163"
"ENSG00000055332"
"ENSG00000055483"
"ENSG00000055950"
"ENSG00000056277"
"ENSG00000057608"
"ENSG00000057657"
"ENSG00000058262"
"ENSG00000058668"
"ENSG00000058866"
"ENSG00000060237"
"ENSG00000061918"
"ENSG00000062038"
"ENSG00000062485"
"ENSG00000062582"
